Percent of Popular Vote,Candidate (Party Label),Popular Vote Total
49.24,Bill Clinton (Democrat),47402357
40.71,Bob Dole (Republican),39198755
8.40,Ross Perot (Reform),8085402
0.71,Ralph Nader (Green),685128
0.50,Harry Browne (Libertarian),485798
0.19,Howard Phillips (U.S. Taxpayers),184820
0.12,John Hagelin (Natural Law),113670
0.03,Monica Moorehead (Workers World),29083
0.03,Marsha Feinland (Peace and Freedom),25332
0.02,Write-In (Miscellaneous)*,24546
0.01,Charles Collins (Independent),8952
0.01,James Harris (Socialist Workers),8476
0.00,None of These Candidates (Nevada),5608
0.00,Dennis Peron (Grassroots),5378
0.00,Mary Cal Hollis (Socialist),4766
0.00,Jerome White (Socialist Equality),2438
0.00,Diane Beall Templin (American),1847
0.00,Earl F. Dodge (Prohibition),1298
0.00,A. Peter Crane (Independent),1101
0.00,Justice Ralph Forbes (America First),932
0.00,John Birrenbach (Independent Grassroots),787
0.00,Isabell Masters (Looking Back),752
0.00,Steve Michael (Independent),408
