Percent of Popular Vote,Candidate (Party Label),Popular Vote Total
48.38,Al Gore (Democrat),50999897
47.87,George W. Bush (Republican),50456002
2.74,Ralph Nader (Green),2882955
0.42,Patrick J. Buchanan (Reform/Independent),448895
0.36,Harry Browne (Libertarian),384431
0.09,Howard Phillips (Constitution),98020
0.08,John S. Hagelin (Natural Law/Reform/Independent),83714
0.02,Write-In (Miscellaneous),20767
0.01,"James E. Harris, Jr. (Socialist Workers)",7378
0.00,L. Neil Smith (Libertarian),5775
0.00,David McReynolds (Socialist),5602
0.00,Monica Moorehead (Workers World),4795
0.00,None of These Candidates (Nevada),3315
0.00,Cathy Gordon Brown (Independent),1606
0.00,Denny Lane (Vermont Grassroots),1044
0.00,Randall Venson (Independent),535
0.00,Earl F. Dodge (Prohibition),208
0.00,Louie G. Youngkeit (Independent),161
